GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
digital-therapy-assistant,com.dta.cli.command,StartupBanner,3,13,0,0,1,5,1,1,1,1
digital-therapy-assistant,com.dta.cli,DtaCli,0,113,2,2,0,25,2,3,0,3
digital-therapy-assistant,com.dta.cli,MenuHandler,15,78,3,3,6,23,3,7,0,7
digital-therapy-assistant,com.dta.cli,CliPrompts,25,73,7,9,4,24,6,7,0,5
digital-therapy-assistant,com.dta.cli,CliState,0,51,0,2,0,19,0,12,0,11
digital-therapy-assistant,com.dta.service.impl,ProgressServiceImpl,20,172,9,9,3,44,8,8,0,7
digital-therapy-assistant,com.dta.service.impl,DiaryServiceImpl,3,224,3,3,1,61,3,13,0,13
digital-therapy-assistant,com.dta.service.impl,SessionServiceImpl,19,205,7,5,3,48,6,12,1,11
digital-therapy-assistant,com.dta.service.impl,AiServiceImpl,8,144,3,5,1,42,4,8,1,7
digital-therapy-assistant,com.dta.service.impl,AuthServiceImpl,20,218,3,5,1,57,6,8,3,7
digital-therapy-assistant,com.dta.service.impl,CrisisServiceImpl,60,38,0,0,16,10,3,3,3,3
digital-therapy-assistant,com.dta.security,JwtUtil,86,0,0,0,29,0,8,0,8,0
digital-therapy-assistant,com.dta.security,RestAuthenticationEntryPoint,14,0,0,0,5,0,2,0,2,0
digital-therapy-assistant,com.dta.security,PasswordEncoderAdapter,17,0,0,0,5,0,3,0,3,0
digital-therapy-assistant,com.dta.security,UserDetailsServiceImpl,44,0,0,0,11,0,3,0,3,0
digital-therapy-assistant,com.dta.security,JwtProperties,24,0,0,0,10,0,7,0,7,0
digital-therapy-assistant,com.dta.controller,DiaryController,0,42,0,0,0,10,0,7,0,7
digital-therapy-assistant,com.dta.controller,CrisisController,0,34,0,0,0,8,0,6,0,6
digital-therapy-assistant,com.dta.controller,SessionController,7,32,0,0,1,7,1,5,1,5
digital-therapy-assistant,com.dta.controller,ProgressController,6,24,0,0,1,6,1,4,1,4
digital-therapy-assistant,com.dta.controller,AuthController,5,23,0,0,1,7,1,4,1,4
digital-therapy-assistant,com.dta,DigitalTherapyAssistantApplication,46,3,2,0,16,1,4,1,3,1
digital-therapy-assistant,com.dta.security.filter,JwtAuthFilter,96,0,12,0,24,0,8,0,2,0
digital-therapy-assistant,com.dta.config,ApplicationConfig,5,0,0,0,2,0,2,0,2,0
digital-therapy-assistant,com.dta.config,SecurityConfig,118,0,0,0,24,0,11,0,11,0
digital-therapy-assistant,com.dta.config,OpenApiConfig,23,0,0,0,7,0,2,0,2,0
digital-therapy-assistant,com.dta.entity,UserSession,19,52,6,0,7,22,4,15,1,15
digital-therapy-assistant,com.dta.entity,TrustedContact,38,0,0,0,11,0,11,0,11,0
digital-therapy-assistant,com.dta.entity,User,45,46,9,1,16,18,11,10,6,10
digital-therapy-assistant,com.dta.entity,UserRole,0,15,0,0,0,3,0,1,0,1
digital-therapy-assistant,com.dta.entity,DiaryEntry,20,52,4,0,8,22,5,15,3,15
digital-therapy-assistant,com.dta.entity,CbtSession,91,0,4,0,27,0,21,0,19,0
digital-therapy-assistant,com.dta.entity,CognitiveDistortion,43,0,0,0,12,0,11,0,11,0
digital-therapy-assistant,com.dta.entity,RefreshToken,17,28,2,0,7,12,5,8,4,8
digital-therapy-assistant,com.dta.entity,ChatMessage,52,0,2,0,16,0,15,0,14,0
digital-therapy-assistant,com.dta.dto.request,StartSessionRequest,0,31,0,0,0,13,0,9,0,9
digital-therapy-assistant,com.dta.dto.request,ChatRequest,0,10,0,0,0,4,0,3,0,3
digital-therapy-assistant,com.dta.dto.request,CreateDiaryEntryRequest,0,31,0,0,0,13,0,9,0,9
digital-therapy-assistant,com.dta.dto.request,RefreshRequest,0,10,0,0,0,4,0,3,0,3
digital-therapy-assistant,com.dta.dto.request,UpdateSafetyPlanRequest,0,17,0,0,0,7,0,5,0,5
digital-therapy-assistant,com.dta.dto.request,LoginRequest,0,17,0,0,0,7,0,5,0,5
digital-therapy-assistant,com.dta.dto.request,RegisterRequest,0,24,0,0,0,10,0,7,0,7
digital-therapy-assistant,com.dta.dto.request,DistortionSuggestionRequest,0,10,0,0,0,4,0,3,0,3
digital-therapy-assistant,com.dta.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
digital-therapy-assistant,com.dta.exception,ApiErrorResponse.ErrorBody,16,27,0,0,8,10,4,5,4,5
digital-therapy-assistant,com.dta.exception,ValidationException,4,0,0,0,2,0,1,0,1,0
digital-therapy-assistant,com.dta.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
digital-therapy-assistant,com.dta.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
digital-therapy-assistant,com.dta.exception,ApiErrorResponse.FieldDetail,8,15,0,0,4,6,2,3,2,3
digital-therapy-assistant,com.dta.exception,ApiException,0,4,0,0,0,2,0,1,0,1
digital-therapy-assistant,com.dta.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
digital-therapy-assistant,com.dta.exception,ApiErrorResponse,4,16,0,0,2,4,1,2,1,2
digital-therapy-assistant,com.dta.exception,GlobalExceptionHandler,25,83,0,0,7,20,2,8,2,8
digital-therapy-assistant,com.dta.cli.commands,SessionWorkflowCommand,13,270,9,24,6,73,9,18,0,9
digital-therapy-assistant,com.dta.cli.commands,ProgressCommand,0,118,1,9,0,30,1,9,0,4
digital-therapy-assistant,com.dta.cli.commands,AuthenticationCommand,0,194,2,10,0,52,2,11,0,6
digital-therapy-assistant,com.dta.cli.commands,DiaryCommand,4,289,2,24,2,79,2,21,0,8
digital-therapy-assistant,com.dta.cli.commands,CrisisSupportCommand,0,190,3,12,0,54,3,13,0,7
digital-therapy-assistant,com.dta.cli.commands,SettingsCommand,0,35,0,2,0,12,0,4,0,3
digital-therapy-assistant,com.dta.cli.commands,ExitCommand,0,15,0,0,0,7,0,3,0,3
digital-therapy-assistant,com.dta.dto.response,ChatResponse,6,32,0,0,2,14,2,9,2,9
digital-therapy-assistant,com.dta.dto.response,ThoughtAnalysisResponse,0,17,0,0,0,7,0,5,0,5
digital-therapy-assistant,com.dta.dto.response,ProgressResponse,0,59,0,0,0,25,0,17,0,17
digital-therapy-assistant,com.dta.dto.response,SafetyPlanResponse,0,17,0,0,0,7,0,5,0,5
digital-therapy-assistant,com.dta.dto.response,DiaryInsightsResponse,0,38,0,0,0,16,0,11,0,11
